ID_EQUIPO,ID_TIPO_EQ,TIPO_EQUIPO,ID_EMPRESA,NOMBRE_EQUIPO,MARCA,MODELO,SERIE,QR,FOTO,UBICACION,PERIODICIDAD
333,16,AIRE ACONDICIONADO,1019,PORTÁTIL NRO 10,KENDAL  ,EVA-12000,12000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
334,16,AIRE ACONDICIONADO,1019,PORTÁTIL NRO 2,KENDAL  ,EVA-12000,12000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
335,16,AIRE ACONDICIONADO,1019,PORTÁTIL NRO 3,KENDAL  ,EVA-12000,12000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
336,16,AIRE ACONDICIONADO,1019,PORTÁTIL NRO 7,KENDAL  ,EVA-12000,12000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
337,16,AIRE ACONDICIONADO,1019,"BODEGA, SPLIT MURO NRO 2",CLARK,CST-12HRE,12000 BTU,,,BASE SAMU VIÑA DEL MAR,TRIMESTRAL 
338,16,AIRE ACONDICIONADO,1019,"RESIDENCIA, SPLIT MURO NRO 3",CLARK,CST-12HRE,12000 BTU,,EQUIPOS_Images/338.FOTO.141214.jpg,BASE SAMU VIÑA DEL MAR,TRIMESTRAL 
339,16,AIRE ACONDICIONADO,1019,"SALA DATA, SPLIT MURO NRO 6",CLARK,CST-12HRE,12000 BTU,,EQUIPOS_Images/339.FOTO.141426.jpg,BASE SAMU VIÑA DEL MAR,TRIMESTRAL 
340,16,AIRE ACONDICIONADO,1019,"ENFERMERO SUPERVISOR, SPLIT MURO NRO 4",CLARK,CST-12HRE,12000 BTU,,EQUIPOS_Images/340.FOTO.141227.jpg,BASE SAMU VIÑA DEL MAR,TRIMESTRAL 
341,16,AIRE ACONDICIONADO,1019,"SALA DE REUNIONES, SPLIT MURO NRO 5",CLARK,CST-12HRE,12000 BTU,,EQUIPOS_Images/341.FOTO.141329.jpg,BASE SAMU VIÑA DEL MAR,TRIMESTRAL 
342,16,AIRE ACONDICIONADO,1019,PORTÁTIL,ENAXXION,YPC1-09H-1,9000 BTU,,EQUIPOS_Images/342.FOTO.141427.jpg,BASE SAMU VIÑA DEL MAR,TRIMESTRAL 
343,16,AIRE ACONDICIONADO,1019,FARMACIA RED SAMU H.BIPROV. (COSTADO BASE SAMU QUILLOTA),KENDAL,l2 ASM-18MDS,18000 BTU SPLIT MURO,,EQUIPOS_Images/343.FOTO.133357.jpg,FARMACIA SAMU QUILLOTA ,TRIMESTRAL 
2548,16,AIRE ACONDICIONADO,1019,SALA TALLER 3,KENDAL,12000,,,,CESAM BELLOTO SUR,TRIMESTRAL
1164,7,EQUIPOS DE FRIO,1001,CONGELADOR C.O.8.4 (ex C.O.8.11),FENSA,FFHH Y300,,,EQUIPOS_Images/1164.FOTO.163556.jpg,VIVENDUM,FUERA CONTRATO
2695,16,AIRE ACONDICIONADO,1001,AIRE ACONDICIONADO DECANOS C.P.14.2,Midea,GEP36E,63229942900,,EQUIPOS_Images/2695.FOTO.201750.jpg,COMEDOR P,FUERA CONTRATO
2451,19,MAQUINARIAS EN GENERAL ,1001,PICADOR DE VERDURAS,ROBOT COUPE,CL50,,,EQUIPOS_Images/2451.FOTO.210241.jpg,CASINO CENTRAL,SEMESTRAL
515,12,TERMO,1001,TERMO TROTTER C.C.15.1,TROTTER,TER-E-600-380-9,1158,,EQUIPOS_Images/515.FOTO.162516.jpg,CASINO CENTRAL,FUERA CONTRATO
2540,7,EQUIPOS DE FRIO,1001,MAQUINA DE JUGO C.C.18.2,BEGEL,Seguranca,07286,,EQUIPOS_Images/2540.FOTO.152231.jpg,CASINO CENTRAL,SEMESTRAL
2608,7,EQUIPOS DE FRIO,1001,MAQUINA DE JUGO C.C.18.1,BEGEL,Seguranca ,,,EQUIPOS_Images/2608.FOTO.145236.jpg,CASINO CENTRAL,SEMESTRAL
1405,19,LICUADORA,1001,LICUADORA SKYMSEN,SKYMSEN,LAR-15LMB,685925000154,,EQUIPOS_Images/1405.FOTO.203420.jpg,CASINO CENTRAL,SEMESTRAL
2341,16,AIRE ACONDICIONADO,1001,SPLIT DUCTO RECTOR,,,,,EQUIPOS_Images/2341.FOTO.194617.jpg,EDIFICIO A 3ER PISO,FUERA CONTRATO
1052,16,AIRE ACONDICIONADO,1001,"SPLIT DUCTO SALON RECTOR (ala Norte, condensador inferior)",,ANL-50M,R-22 / 220 volt.,,,EDIFICIO A 3ER PISO,FUERA CONTRATO
